Category,Value,Question,Answer
History,$200,What year did Christopher Columbus discover America?,1492
History,$400,Who was the first President of the United States?,George Washington
History,$600,Which ancient civilization built the Great Wall of China?,Chinese
History,$800,In which war did the Battle of Waterloo take place?,Napoleonic Wars
History,$1000,Who was the last queen of France before the French Revolution?,Marie Antoinette
Science,$200,What is the chemical symbol for water?,H2O
Science,$400,What planet is known as the Red Planet?,Mars
Science,$600,Who developed the theory of relativity?,Albert Einstein
Science,$800,What is the largest planet in our solar system?,Jupiter
Science,$1000,What is the smallest bone in the human body?,Stapes
Geography,$200,What is the capital city of France?,Paris
Geography,$400,Which river runs through Egypt?,Nile River
Geography,$600,What is the world's largest ocean?,Pacific Ocean
Geography,$800,Which desert is the largest in the world?,Sahara Desert
Geography,$1000,Which country is known as the Land of the Rising Sun?,Japan
Literature,$200,Who wrote 'Romeo and Juliet'?,William Shakespeare
Literature,$400,What is the longest novel ever written?,In Search of Lost Time
Literature,$600,Who wrote 'Pride and Prejudice'?,Jane Austen
Literature,$800,Which famous detective lived at 221B Baker Street?,Sherlock Holmes
Literature,$1000,Who wrote 'Moby Dick'?,Herman Melville
Movies,$200,What is the highest-grossing film of all time?,Avengers: Endgame
Movies,$400,Who directed 'Jurassic Park'?,Steven Spielberg
Movies,$600,Which film won the Academy Award for Best Picture in 2020?,Parasite
Movies,$800,Who played Neo in 'The Matrix' trilogy?,Keanu Reeves
Movies,$1000,Which actor portrayed Jack Sparrow in 'Pirates of the Caribbean'?,Johnny Depp
